file,source
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/10月21日新市區周家中壇元帥繞境路關圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=96742358-E865-49D6-BDF7-ED02D9D8EAD2
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/10月26日楠西區北極殿聖濟宮東福宮遶境路關圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=96742358-E865-49D6-BDF7-ED02D9D8EAD2
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/10月08日歸仁區尊龍會繞境.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=C239BDD0-44CC-4748-AE94-F8DC5CA73025
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/1001安平區聖元堂遶境路關表.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=ED0D43D1-6C4D-46A6-9D9D-C05E7C606418
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/10月08日歸仁區尊龍會繞境路觀圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=ED0D43D1-6C4D-46A6-9D9D-C05E7C606418
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/善化區0923尊聖社路關圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=0653CD41-9063-48D6-8400-01E0F126286B
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/歸仁0923飛龍宮遶境路關圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=0653CD41-9063-48D6-8400-01E0F126286B
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/永康0923慈母宮路關圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=0653CD41-9063-48D6-8400-01E0F126286B
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/9月23日北區城隍廟遶境路關圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=0653CD41-9063-48D6-8400-01E0F126286B
http://www.tainan.gov.tw/tn/tainan/warehouse/{85575029-58A5-4A2C-90E2-87E6327C6496}/南天宮遶境路關圖.pdf,http://www.tainan.gov.tw/tn/agr/tnpage.asp?id=88406CD2-D5D2-451D-B4F6-0F03334C93D0
